"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"baainbw.de","baainbw.de","http://www.baainbw.de","","Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr","","No","dotgov","No","No","No","","","","","","No"
"badv.bund.de","badv.bund.de","https://www.badv.bund.de","","Bundesamt für zentrale Dienste und offene Vermögensfragen","","No","dotgov","No","Yes","No","","","","","","No"
"baf.bund.de","baf.bund.de","https://www.baf.bund.de","","Bundesaufsichtsamt für Flugsicherung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bafa.de","bafa.de","http://www.bafa.de","","Bundesamt für Wirtschaft und Ausfuhrkontrolle","","No","dotgov","No","No","No","","","","","","No"
"bafg.de","bafg.de","https://www.bafg.de","","Bundesanstalt für Gewässerkunde","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bafin.de","bafin.de","https://www.bafin.de","","Bundesanstalt für Finanzdienstleistungsaufsicht","","No","dotgov","No","Yes","No","","","","","","No"
"bafoeg-rueckzahlung.de","bafoeg-rueckzahlung.de","http://bafoeg-rueckzahlung.de","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bafoeg.online","bafoeg.online","http://bafoeg.online","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bafza.de","bafza.de","https://www.bafza.de","","Bundesamt für Familie und zivilgesellschaftliche Aufgaben","","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"bag.bund.de","bag.bund.de","https://www.bag.bund.de","","Bundesamt für Güterverkehr","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bakoev.bund.de","bakoev.bund.de","https://www.bakoev.bund.de","","Bundesakademie für öffentliche Verwaltung","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"ballonwetter.de","ballonwetter.de","https://www.ballonwetter.de","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ballonwetter.eu","ballonwetter.eu","https://www.ballonwetter.eu","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bam.de","bam.de","https://www.bam.de","","Bundesanstalt für Materialforschung und -prüfung","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
