"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ahlerstedt.de","ahlerstedt.de","http://ahlerstedt.de","","Ahlerstedt","NI","Yes","dotgov","No","No","No","","","","","","No"
"ahnatal.de","ahnatal.de","http://ahnatal.de","","Ahnatal","HE","No","dotgov","No","No","No","","","","","","No"
"ahnsbeck.de","ahnsbeck.de","http://ahnsbeck.de","","Ahnsbeck","NI","No","dotgov","No","No","No","","","","","","No"
"aholming.de","aholming.de","http://aholming.de","","Aholming","BY","No","dotgov","No","No","No","","","","","","No"
"ahorn.de","ahorn.de","https://www.ahorn.de","","Ahorn","BY","No","dotgov","No","Yes","No","","","","","","No"
"ahorntal.de","ahorntal.de","http://www.ahorntal.de","","Ahorntal","BY","No","dotgov","No","No","No","","","","","","No"
"ahrensboek.de","ahrensboek.de","http://ahrensboek.de","","Ahrensbök","SH","No","dotgov","No","No","No","","","","","","No"
"ahrensburg.de","ahrensburg.de","https://ahrensburg.de","","Ahrensburg","SH","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ahrensfelde.de","ahrensfelde.de","http://www.ahrensfelde.de","","Ahrensfelde","BB","No","dotgov","No","No","No","","","","","","No"
"ahrenshoeft.de","ahrenshoeft.de","http://ahrenshoeft.de","","Ahrenshöft","SH","No","dotgov","No","No","No","","","","","","No"
"ahrenvioelfeld.de","ahrenvioelfeld.de","http://ahrenvioelfeld.de","","Ahrenviölfeld","SH","No","dotgov","No","No","No","","","","","","No"
"aichach.de","aichach.de","https://aichach.de","","Aichach","BY","No","dotgov","No","Yes","No","","","","","","No"
"aichavormwald.de","aichavormwald.de","https://aichavormwald.de","","Aicha vorm Wald","BY","No","dotgov","Yes","Yes","Yes","","","","","","No"
"aichelberg.de","aichelberg.de","http://aichelberg.de","","Aichelberg","BW","No","dotgov","No","No","No","","","","","","No"
"aichhalden.de","aichhalden.de","https://www.aichhalden.de","","Aichhalden","BW","No","dotgov","No","Yes","No","","","","","","No"
"aichstetten.de","aichstetten.de","https://www.aichstetten.de","","Aichstetten","BW","No","dotgov","No","Yes","No","","","","","","No"
"aichtal.de","aichtal.de","https://www.aichtal.de","","Aichtal","BW","No","dotgov","No","Yes","No","","","","","","No"
"aidenbach.de","aidenbach.de","https://www.aidenbach.de","","Aidenbach","BY","No","dotgov","No","Yes","No","","","","","","No"
"aidlingen.de","aidlingen.de","https://www.aidlingen.de","","Aidlingen","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aindling.de","aindling.de","https://www.aindling.de","","Aindling","BY","No","dotgov","No","No","No","","","","","","No"
"ainring.de","ainring.de","https://www.ainring.de","","Ainring","BY","No","dotgov","No","Yes","No","","","","","","No"
"aislingen.de","aislingen.de","https://aislingen.de","","Aislingen","BY","No","dotgov","No","Yes","No","","","","","","No"
"aiterhofen.de","aiterhofen.de","https://www.aiterhofen.de","","Aiterhofen","BY","No","dotgov","No","No","No","","","","","","No"
"aitern.de","aitern.de","http://aitern.de","","Aitern","BW","No","dotgov","No","No","No","","","","","","No"
"aitrach.de","aitrach.de","https://www.aitrach.de","","Aitrach","BW","No","dotgov","No","Yes","No","","","","","","No"
"aitrang.de","aitrang.de","https://www.aitrang.de","","Aitrang","BY","No","dotgov","No","Yes","No","","","","","","No"
"aken.de","aken.de","https://www.aken.de","","Aken (Elbe)","ST","No","dotgov","No","Yes","No","","","","","","No"
"aktionsplan-allergien.de","aktionsplan-allergien.de","http://aktionsplan-allergien.de","","Bundesamt für Verbraucherschutz und Lebensmittelsicherheit","","Yes","dotgov","No","No","No","","","","","","No"
"albaching.de","albaching.de","https://albaching.de","","Albaching","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"albbruck.de","albbruck.de","http://www.albbruck.de","","Albbruck","BW","No","dotgov","No","No","No","","","","","","No"
"albersdorf.de","albersdorf.de","https://www.albersdorf.de","","Albersdorf","SH","No","dotgov","No","Yes","No","","","","","","No"
"albershausen.de","albershausen.de","https://www.albershausen.de","","Albershausen","BW","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"albersweiler.de","albersweiler.de","http://albersweiler.de","","Albersweiler","RP","No","dotgov","No","No","No","","","","","","No"
"albisheim-pfrimm.de","albisheim-pfrimm.de","http://albisheim-pfrimm.de","","Albisheim","RP","No","dotgov","No","No","No","","","","","","No"
"albstadt.de","albstadt.de","http://www.albstadt.de","","Albstadt","BW","No","dotgov","No","No","No","","","","","","No"
"aldenhoven.de","aldenhoven.de","https://aldenhoven.de","","Aldenhoven","NW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aldersbach.de","aldersbach.de","http://aldersbach.de","","Aldersbach","BY","No","dotgov","No","No","No","","","","","","No"
"aldingen.de","aldingen.de","http://www.aldingen.de","","Aldingen","BW","No","dotgov","No","No","No","","","","","","No"
"alerheim.de","alerheim.de","http://alerheim.de","","Alerheim","BY","No","dotgov","No","No","No","","","","","","No"
"alesheim.de","alesheim.de","https://alesheim.de","","Alesheim","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"aletshausen.de","aletshausen.de","http://aletshausen.de","","Aletshausen","BY","No","dotgov","No","No","No","","","","","","No"
"alf-mosel.de","alf-mosel.de","http://alf-mosel.de","","Alf","RP","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"alfdorf.de","alfdorf.de","https://www.alfdorf.de","","Alfdorf","BW","No","dotgov","No","Yes","No","","","","","","No"
"alfeld-mfr.de","alfeld-mfr.de","http://alfeld-mfr.de","","Alfeld","BY","No","dotgov","No","No","No","","","","","","No"
"alfeld.de","alfeld.de","https://www.alfeld.de","","Alfeld (Leine)","NI","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alfhausen.de","alfhausen.de","http://www.alfhausen.de","","Alfhausen","NI","No","dotgov","No","No","No","","","","","","No"
"alflen.de","alflen.de","https://www.alflen.de","","Alflen","RP","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"alfter.de","alfter.de","https://www.alfter.de","","Alfter","NW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"algermissen.de","algermissen.de","https://algermissen.de","","Algermissen","NI","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alheim.de","alheim.de","https://www.alheim.de","","Alheim","HE","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"alken.de","alken.de","https://alken.de","","Alken","RP","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"allenbach-hunsrueck.de","allenbach-hunsrueck.de","https://allenbach-hunsrueck.de","","Allenbach","RP","No","dotgov","No","Yes","No","","","","","","No"
"allendorf-eder.de","allendorf-eder.de","http://allendorf-eder.de","","Allendorf (Eder)","HE","Yes","dotgov","No","No","No","","","","","","No"
"allendorf-lda.de","allendorf-lda.de","https://www.allendorf-lda.de","","Allendorf (Lumda)","HE","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"allensbach.de","allensbach.de","https://www.allensbach.de","","Allensbach","BW","No","dotgov","No","No","No","","","","","","No"
"allersberg.de","allersberg.de","http://www.allersberg.de","","Allersberg","BY","No","dotgov","No","No","No","","","","","","No"
"allershausen.de","allershausen.de","http://allershausen.de","","Allershausen","BY","No","dotgov","No","No","No","","","","","","No"
"alleshausen.de","alleshausen.de","http://alleshausen.de","","Alleshausen","BW","No","dotgov","No","No","No","","","","","","No"
"alling.de","alling.de","https://www.alling.de","","Alling","BY","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"allmannshofen.de","allmannshofen.de","http://www.allmannshofen.de","","Allmannshofen","BY","No","dotgov","No","No","No","","","","","","No"
"allmannsweiler-bc.de","allmannsweiler-bc.de","http://www.allmannsweiler-bc.de","","Allmannsweiler","BW","No","dotgov","No","No","No","","","","","","No"
"allmendingen.de","allmendingen.de","https://www.allmendingen.de","","Allmendingen","BW","No","dotgov","No","No","No","","","","","","No"
"allmersbach.de","allmersbach.de","https://www.allmersbach.de","","Allmersbach im Tal","BW","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"allstedt.info","allstedt.info","http://allstedt.info","","Allstedt","ST","No","dotgov","No","No","No","","","","","","No"
"almdorf.de","almdorf.de","http://almdorf.de","","Almdorf","SH","No","dotgov","No","No","No","","","","","","No"
"almersbach.de","almersbach.de","https://almersbach.de","","Almersbach","RP","No","dotgov","No","Yes","No","","","","","","No"
"alpen.de","alpen.de","https://alpen.de","","Alpen","NW","No","dotgov","No","Yes","No","","","","","","No"
"alpenflugwetter.com","alpenflugwetter.com","http://www.alpenflugwetter.com","","Deutscher Wetterdienst","","No","dotgov","No","No","No","","","","","","No"
"alpenflugwetter.de","alpenflugwetter.de","http://www.alpenflugwetter.de","","Deutscher Wetterdienst","","No","dotgov","No","No","No","","","","","","No"
"alpenflugwetter.eu","alpenflugwetter.eu","http://www.alpenflugwetter.eu","","Deutscher Wetterdienst","","No","dotgov","No","No","No","","","","","","No"
"alpenrod.de","alpenrod.de","http://alpenrod.de","","Alpenrod","RP","No","dotgov","No","No","No","","","","","","No"
"alpenwetter.eu","alpenwetter.eu","http://www.alpenwetter.eu","","Deutscher Wetterdienst","","No","dotgov","No","No","No","","","","","","No"
"alpirsbach.de","alpirsbach.de","http://www.alpirsbach.de","","Alpirsbach","BW","Yes","dotgov","No","No","No","","","","","","No"
