Domain Name,Domain Type,Agency,City,State
bundespolizei.de,Federal Agency,Bundespolizeipräsidium,,
bundespraesident.de,Federal Agency,Bundespräsident,,
bundespruefstelle.de,Federal Agency,Bundesprüfstelle für jugendgefährdende Medien,,
bundesrat.de,Federal Agency,Bundesrat,,
bundesrechnungshof.de,Federal Agency,Bundesrechnungshof,,
bundesregierung.de,Federal Agency,Bundesregierung,,
bundessortenamt.de,Federal Agency,Bundessortenamt,,
bundessozialgericht.de,Federal Agency,Bundessozialgericht,,
bundessozialministerium.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
bundessozialministerium.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
bundessprachenamt.de,Federal Agency,Bundessprachenamt,,
bundesstelle-fuer-informationstechnik.de,Federal Agency,Bundesverwaltungsamt,,
bundestag.de,Federal Agency,Deutscher Bundestag,,
bundesverfassungsgericht.de,Federal Agency,Bundesverfassungsgericht,,
bundesverkehrsminister.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesversicherungsamt.de,Federal Agency,Bundesversicherungsamt,,
bundesverwaltungsamt.de,Federal Agency,Bundesverwaltungsamt,,
bundesverwaltungsgericht.de,Federal Agency,Bundesverwaltungsgericht,,
bundeswehr-karriere.de,Federal Agency,Bundesamt für das Personalmanagement der Bundeswehr,,
bund.online,Federal Agency,Bundesverwaltungsamt,,
bund.services,Federal Agency,Bundesverwaltungsamt,,
bva.bund.de,Federal Agency,Bundesverwaltungsamt,,
bva-dienstleistungszentrum.de,Federal Agency,Bundesverwaltungsamt,,
bva.services,Federal Agency,Bundesverwaltungsamt,,
bva.website,Federal Agency,Bundesverwaltungsamt,,
bvl.bund.de,Federal Agency,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit,,
bvwp2015.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bzga.de,Federal Agency,Bundeszentrale für gesundheitliche Aufklärung,,
bzst.bund.de,Federal Agency,Bundeszentralamt für Steuern,,
caf-netzwerk.de,Federal Agency,Bundesverwaltungsamt,,
cerwis.eu,Federal Agency,Deutscher Wetterdienst,,
chancen-mit-erfahrung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
climatemonitoring.de,Federal Agency,Deutscher Wetterdienst,,
climatemonitoring.eu,Federal Agency,Deutscher Wetterdienst,,
climateservice.eu,Federal Agency,Deutscher Wetterdienst,,
climateservices.de,Federal Agency,Deutscher Wetterdienst,,
climateservices.eu,Federal Agency,Deutscher Wetterdienst,,
cmsaf.eu,Federal Agency,Deutscher Wetterdienst,,
csrindeutschland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csringermany.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csrmadeingermany.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csr-preis-bund.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csr-unternehmenswerte.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-bildungspaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-demographie-netzwerk.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-halbe-leben.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dashalbeleben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-halbe-leben.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-jobcenter.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-rentenpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-rentenreformpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dates-esf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dates-esf-test.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
demograf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-demograf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn-gilt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn-kommt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
