Domain Name,Domain Type,Agency,City,State
met4aviation.eu,Federal Agency,Deutscher Wetterdienst,,
met4pilot.com,Federal Agency,Deutscher Wetterdienst,,
met4pilot.de,Federal Agency,Deutscher Wetterdienst,,
met4pilot.eu,Federal Agency,Deutscher Wetterdienst,,
meteoalarm.de,Federal Agency,Deutscher Wetterdienst,,
metlis.eu,Federal Agency,Deutscher Wetterdienst,,
mindestlohn-gilt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mindestlohn-kommt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mindestlohn-wirkt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ministere-federal-des-finances.de,Federal Agency,Bundesministerium der Finanzen,,
mitneuemmut.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mks-dialog.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
mobil.budget.bmas.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mobil.einfachteilhaben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
monitoring-esf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
mo-ro.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
mo-ro.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
mri.bund.de,Federal Agency,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",,
naturgefahrenforschung.de,Federal Agency,Deutscher Wetterdienst,,
netzallianzdeutschland.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
netzallianz-digitales-deutschland.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
netzwerk-alleinerziehende.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
netzwerke-alleinerziehende.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
neuekulturderarbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
neue-qualitaet-der-arbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
neues-jobcenter.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
oberpruefungsamt.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
ohnedichkeinwir.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ombudsrad.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ombudsrat.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ombudsrat.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ombudsrat.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ombudsrat.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
orghandbuch.de,Federal Agency,Bundesverwaltungsamt,,
pcmet.com,Federal Agency,Deutscher Wetterdienst,,
pcmet.de,Federal Agency,Deutscher Wetterdienst,,
pc-met.eu,Federal Agency,Deutscher Wetterdienst,,
pei.de,Federal Agency,Paul Ehrlich Institut Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel,,
personalausweisportal.de,Federal Agency,Bundesverwaltungsamt,,
pollenflugvorhersage.eu,Federal Agency,Deutscher Wetterdienst,,
projekt-persoenliches-budget.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
psyga-check.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ptb.de,Federal Agency,Physikalisch-Technische Bundesanstalt,,
punktereform.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
radwegdeutscheeinheit.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
raps-benchmark.de,Federal Agency,Deutscher Wetterdienst,,
rccra6.org,Federal Agency,Deutscher Wetterdienst,,
registerfactory.de,Federal Agency,Bundesverwaltungsamt,,
rentenpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
rentenreformpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
rki.de,Federal Agency,Robert Koch-Institut,,
rth-offenbach.eu,Federal Agency,Deutscher Wetterdienst,,
seewis.de,Federal Agency,Deutscher Wetterdienst,,
seewis.eu,Federal Agency,Deutscher Wetterdienst,,
segelflugwetter.de,Federal Agency,Deutscher Wetterdienst,,
segelflugwetter.eu,Federal Agency,Deutscher Wetterdienst,,
selberhandeln.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2-kennzahlen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgb2-reform.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbii.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbii.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbii-kennzahlen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbii.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbii.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sgbzwei.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--sicher-selbstndig-2qb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
so-klingt-europa.de,Federal Agency,Bundesministerium der Finanzen,,
sozialbeirat.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
soziale-entschaedigung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sozialministerium.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sozialpolitische-informationen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sozialversicherungswahlen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
sozialwahl2011.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
stabile-finanzmaerkte.de,Federal Agency,Bundesministerium der Finanzen,,
stabile-haushalte.de,Federal Agency,Bundesministerium der Finanzen,,
stabiler-euro.de,Federal Agency,Bundesministerium der Finanzen,,
tagderjobcenter.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
technisches-referendariat.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
teilzeit-info.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
testa-de.net,Federal Agency,Bundesverwaltungsamt,,
the-unseen.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
tln-mobility.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
trivis.de,Federal Agency,Deutscher Wetterdienst,,
umweltbundesamt.de,Federal Agency,Umweltbundesamt,,
un-behindertenrechtskonvention.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
uniohneabi.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
un-koordinierungsstelle.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
unsere-rente.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
unsere-rente.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
unternehmensservice-demografie.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
unternehmensservice-demographie.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
unternehmens-wert-mensch.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
usd-portal.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
uv-index.de,Federal Agency,Deutscher Wetterdienst,,
uv-index.eu,Federal Agency,Deutscher Wetterdienst,,
vereintaktiv.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--vereint-fr-gemeinsame-bildung-tbd.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--vereint-fr-gleiche-bildung-6zc.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
vereint-fuer-gemeinsame-bildung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
vereint-fuer-gleiche-bildung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
verfassungsschutz.de,Federal Agency,Bundesamt für Verfassungsschutz,,
verkehrsminister.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
verkehrsministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
verwaltungsmodernisierung.de,Federal Agency,Bundesverwaltungsamt,,
verwaltungsservicezentrum.de,Federal Agency,Bundesverwaltungsamt,,
vgisc.eu,Federal Agency,Deutscher Wetterdienst,,
vier-punkt-null.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
v-modell-xt.de,Federal Agency,Bundesverwaltungsamt,,
vti.bund.de,Federal Agency,"Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",,
was-ist-gute-arbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
we-are-open.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
wettergefahren.de,Federal Agency,Deutscher Wetterdienst,,
wettergefahren.eu,Federal Agency,Deutscher Wetterdienst,,
wetterlexikon.eu,Federal Agency,Deutscher Wetterdienst,,
wetterwarnungen.eu,Federal Agency,Deutscher Wetterdienst,,
wiewerdenwirarbeiten.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
wiewollenwirarbeiten.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
willkommenindeutschland.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
wsv.de,Federal Agency,Generaldirektion Wasserstraßen und Schifffahrt,,
wwis.dwd.de,Federal Agency,Deutscher Wetterdienst,,
wwwbund.de,Federal Agency,Bundesverwaltungsamt,,
xenos-de.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
yesweareopen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
yes-we-are-open.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
zielvereinbarungsregister.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
zoll.de,Federal Agency,Bundesministerium der Finanzen,,
zukunftbreitband.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
zuwes.de,Federal Agency,Bundesverwaltungsamt,,
aarbergen.de,City,Non-Federal Agency,Aarbergen,HE
abtsteinach.de,City,Non-Federal Agency,Abtsteinach,HE
ahnatal.de,City,Non-Federal Agency,Ahnatal,HE
alheim.de,City,Non-Federal Agency,Alheim,HE
allendorf-eder.de,City,Non-Federal Agency,Allendorf (Eder),HE
allendorf-lda.de,City,Non-Federal Agency,Allendorf (Lumda),HE
alsbach-haehnlein.de,City,Non-Federal Agency,Alsbach-Hähnlein,HE
alsfeld.de,City,Non-Federal Agency,Alsfeld,HE
altenstadt.de,City,Non-Federal Agency,Altenstadt,HE
amoeneburg.de,City,Non-Federal Agency,Amöneburg,HE
amt-roebel-mueritz.de,City,Non-Federal Agency,Schwarz,MV
amt-seenlandschaft-waren.de,City,Non-Federal Agency,Peenehagen,MV
amt-seenlandschaft-waren.de,City,Non-Federal Agency,Schloen-Dratow,MV
angelburg.de,City,Non-Federal Agency,Angelburg,HE
asslar.de,City,Non-Federal Agency,Aßlar,HE
aumuehle.de,City,Non-Federal Agency,Aumühle,SH
babenhausen.de,City,Non-Federal Agency,Babenhausen,HE
bad-arolsen.de,City,Non-Federal Agency,Bad Arolsen,HE
badelster.de,City,Non-Federal Agency,Bad Elster,SN
bad-ems.de,City,Non-Federal Agency,Bad Ems,RP
bad-emstal.de,City,Non-Federal Agency,Bad Emstal,HE
bad-hersfeld.de,City,Non-Federal Agency,Bad Hersfeld,HE
bad-hoenningen.de,City,Non-Federal Agency,Bad Hönningen,RP
bad-homburg.de,City,Non-Federal Agency,Bad Homburg vor der Höhe,HE
bad-karlshafen.de,City,Non-Federal Agency,Bad Karlshafen,HE
badkoenig.de,City,Non-Federal Agency,Bad König,HE
bad-orb.de,City,Non-Federal Agency,Bad Orb,HE
badsalzschlirf.de,City,Non-Federal Agency,Bad Salzschlirf,HE
bad-schwalbach.de,City,Non-Federal Agency,Bad Schwalbach,HE
bad-soden.de,City,Non-Federal Agency,Bad Soden am Taunus,HE
badsoden-salmuenster.de,City,Non-Federal Agency,Bad Soden-Salmünster,HE
bad-sooden-allendorf.de,City,Non-Federal Agency,Bad Sooden-Allendorf,HE
badsuelze.de,City,Non-Federal Agency,Bad Sülze,MV
bad-vilbel.de,City,Non-Federal Agency,Bad Vilbel,HE
bad-wildungen.de,City,Non-Federal Agency,Bad Wildungen,HE
bad-woerishofen.de,City,Non-Federal Agency,Bad Wörishofen,BY
badzwesten.de,City,Non-Federal Agency,Bad Zwesten,HE
battenberg-eder.de,City,Non-Federal Agency,Battenberg (Eder),HE
baunatal.de,City,Non-Federal Agency,Baunatal,HE
bebra.de,City,Non-Federal Agency,Bebra,HE
beckingen.de,City,Non-Federal Agency,Beckingen,SL
beerfelden.de,City,Non-Federal Agency,Beerfelden,HE
belgernschildau.de,City,Non-Federal Agency,Belgern-Schildau,SN
bensheim.de,City,Non-Federal Agency,Bensheim,HE
bergkirchen.de,City,Non-Federal Agency,Bergkirchen,BY
berkatal.de,City,Non-Federal Agency,Berkatal,HE
bernkastel.de,City,Non-Federal Agency,Bernkastel-Kues,RP
beselich.de,City,Non-Federal Agency,Beselich,HE
biblis.eu,City,Non-Federal Agency,Biblis,HE
bickenbach-bergstrasse.de,City,Non-Federal Agency,Bickenbach,HE
biebergemuend.de,City,Non-Federal Agency,Biebergemünd,HE
biebesheim.de,City,Non-Federal Agency,Biebesheim am Rhein,HE
biedenkopf.de,City,Non-Federal Agency,Biedenkopf,HE
birkenau.de,City,Non-Federal Agency,Birkenau,HE
birstein.de,City,Non-Federal Agency,Birstein,HE
bischoffen.de,City,Non-Federal Agency,Bischoffen,HE
bischofsheim.de,City,Non-Federal Agency,Bischofsheim,HE
bobritzsch-hilbersdorf.de,City,Non-Federal Agency,Bobritzsch-Hilbersdorf,SN
boppard.de,City,Non-Federal Agency,Boppard,RP
borken-hessen.de,City,Non-Federal Agency,Borken (Hessen),HE
borna.de,City,Non-Federal Agency,Borna,SN
bous.de,City,Non-Federal Agency,Bous,SL
braunfels.de,City,Non-Federal Agency,Braunfels,HE
breidenbach.de,City,Non-Federal Agency,Breidenbach,HE
breitenbach-am-herzberg.de,City,Non-Federal Agency,Breitenbach am Herzberg,HE
brensbach.de,City,Non-Federal Agency,Brensbach,HE
breuberg.de,City,Non-Federal Agency,Breuberg,HE
breuna.de,City,Non-Federal Agency,Breuna,HE
brombachtal.de,City,Non-Federal Agency,Brombachtal,HE
bromskirchen.de,City,Non-Federal Agency,Bromskirchen,HE
bruchkoebel.de,City,Non-Federal Agency,Bruchköbel,HE
buerstadt.de,City,Non-Federal Agency,Bürstadt,HE
buettelborn.de,City,Non-Federal Agency,Büttelborn,HE
buseck.de,City,Non-Federal Agency,Buseck,HE
calden.de,City,Non-Federal Agency,Calden,HE
chemnitz.de,City,Non-Federal Agency,Chemnitz,SN
coelbe.de,City,Non-Federal Agency,Cölbe,HE
cornberg.de,City,Non-Federal Agency,Cornberg,HE
dargun.de,City,Non-Federal Agency,Dargun,MV
dautphetal.de,City,Non-Federal Agency,Dautphetal,HE
dieburg.com,City,Non-Federal Agency,Dieburg,HE
diemelstadt.de,City,Non-Federal Agency,Diemelstadt,HE
dietzenbach.de,City,Non-Federal Agency,Dietzenbach,HE
dietzhoelztal.de,City,Non-Federal Agency,Dietzhölztal,HE
dillenburg.de,City,Non-Federal Agency,Dillenburg,HE
dillingen-saar.de,City,Non-Federal Agency,Dillingen/Saar,SL
dipperz.de,City,Non-Federal Agency,Dipperz,HE
dischingen.de,City,Non-Federal Agency,Dischingen,BW
dornburg.de,City,Non-Federal Agency,Dornburg,HE
driedorf.de,City,Non-Federal Agency,Driedorf,HE
ebersburg.de,City,Non-Federal Agency,Ebersburg,HE
ebsdorfergrund.de,City,Non-Federal Agency,Ebsdorfergrund,HE
echzell.de,City,Non-Federal Agency,Echzell,HE
edenkoben.de,City,Non-Federal Agency,Edenkoben,RP
edermuende.de,City,Non-Federal Agency,Edermünde,HE
edertal.de,City,Non-Federal Agency,Edertal,HE
egelsbach.de,City,Non-Federal Agency,Egelsbach,HE
ehringshausen.de,City,Non-Federal Agency,Ehringshausen,HE
eichenzell.de,City,Non-Federal Agency,Eichenzell,HE
einhausen.de,City,Non-Federal Agency,Einhausen,HE
eisenach.de,City,Non-Federal Agency,Eisenach,TH
elbe-havel-land.de,City,Non-Federal Agency,Wust-Fischbeck,ST
ellhofen.de,City,Non-Federal Agency,Ellhofen,BW
elmshorn.de,City,Non-Federal Agency,Elmshorn,SH
elz.de,City,Non-Federal Agency,Elz,HE
eppelborn.de,City,Non-Federal Agency,Eppelborn,SL
eppertshausen.de,City,Non-Federal Agency,Eppertshausen,HE
eppstein.de,City,Non-Federal Agency,Eppstein,HE
erbach.de,City,Non-Federal Agency,Erbach,HE
erdweg.de,City,Non-Federal Agency,Erdweg,BY
erlensee.de,City,Non-Federal Agency,Erlensee,HE
erzhausen.de,City,Non-Federal Agency,Erzhausen,HE
eschborn.de,City,Non-Federal Agency,Eschborn,HE
eschenburg.de,City,Non-Federal Agency,Eschenburg,HE
espenau.de,City,Non-Federal Agency,Espenau,HE
falkenberg-elster.de,City,Non-Federal Agency,Falkenberg/Elster,BB
feldatal.de,City,Non-Federal Agency,Feldatal,HE
felsberg.de,City,Non-Federal Agency,Felsberg,HE
fernwald.de,City,Non-Federal Agency,Fernwald,HE
final.fronhausen.de,City,Non-Federal Agency,Fronhausen,HE
fischbachtal.de,City,Non-Federal Agency,Fischbachtal,HE
flensburg.de,City,Non-Federal Agency,Flensburg,SH
flieden.de,City,Non-Federal Agency,Flieden,HE
floersbachtal.de,City,Non-Federal Agency,Flörsbachtal,HE
floersheim-main.de,City,Non-Federal Agency,Flörsheim am Main,HE
florstadt.de,City,Non-Federal Agency,Florstadt,HE
fraenkisch-crumbach.de,City,Non-Federal Agency,Fränkisch-Crumbach,HE
frankenau.de,City,Non-Federal Agency,Frankenau,HE
frankenberg.de,City,Non-Federal Agency,Frankenberg (Eder),HE
frankenthal.de,City,Non-Federal Agency,Frankenthal (Pfalz),RP
freiensteinau.de,City,Non-Federal Agency,Freiensteinau,HE
freigericht.de,City,Non-Federal Agency,Freigericht,HE
freisen.de,City,Non-Federal Agency,Freisen,SL
friedberg-hessen.de,City,Non-Federal Agency,Friedberg (Hessen),HE
friedrichsdorf.de,City,Non-Federal Agency,Friedrichsdorf,HE
friedrichsthal.de,City,Non-Federal Agency,Friedrichsthal,SL
frielendorf.de,City,Non-Federal Agency,Frielendorf,HE
fritzlar.de,City,Non-Federal Agency,Fritzlar,HE
fuldabrueck.de,City,Non-Federal Agency,Fuldabrück,HE
fuldatal.de,City,Non-Federal Agency,Fuldatal,HE
gedern.de,City,Non-Federal Agency,Gedern,HE
geisenheim.de,City,Non-Federal Agency,Geisenheim,HE
gelnhausen.de,City,Non-Federal Agency,Gelnhausen,HE
gemeinde-boerdeaue.de,City,Non-Federal Agency,Bördeaue,ST
gemeinde-brachttal.de,City,Non-Federal Agency,Brachttal,HE
gemeinde-brechen.de,City,Non-Federal Agency,Brechen,HE
gemeinde-breitscheid.de,City,Non-Federal Agency,Breitscheid,HE
gemeinde-elbtal.de,City,Non-Federal Agency,Elbtal,HE
gemeinde-ensdorf.de,City,Non-Federal Agency,Ensdorf,SL
gemeinde-friedewald.de,City,Non-Federal Agency,Friedewald,HE
gemeinde-fuerth.de,City,Non-Federal Agency,Fürth,HE
gemeinde-gutenborn.info,City,Non-Federal Agency,Gutenborn,ST
gemeinde-helsa.de,City,Non-Federal Agency,Helsa,HE
gemeinde-hosenfeld.de,City,Non-Federal Agency,Hosenfeld,HE
gemeinde-huenstetten.de,City,Non-Federal Agency,Hünstetten,HE
gemeinde-jesberg.de,City,Non-Federal Agency,Jesberg,HE
gemeinde-kalbach.de,City,Non-Federal Agency,Kalbach,HE
gemeinde-kefenrod.de,City,Non-Federal Agency,Kefenrod,HE
gemeinde-loehnberg.de,City,Non-Federal Agency,Löhnberg,HE
gemeinde-meissner.de,City,Non-Federal Agency,Meißner,HE
gemeinde-muecke.de,City,Non-Federal Agency,Mücke,HE
gemeinde-muenchhausen.de,City,Non-Federal Agency,Münchhausen,HE
gemeinde-nordharz.de,City,Non-Federal Agency,Nordharz,ST
gemeinde-reiskirchen.de,City,Non-Federal Agency,Reiskirchen,HE
gemeinde-schauenburg.de,City,Non-Federal Agency,Schauenburg,HE
gemeindesinn.de,City,Non-Federal Agency,Sinn,HE
gemeinde-waldems.de,City,Non-Federal Agency,Waldems,HE
gemeinde-wangen.de,City,Non-Federal Agency,Wangen,BW
gemeinde-wartenberg.de,City,Non-Federal Agency,Wartenberg,HE
gemeinde-weinbach.de,City,Non-Federal Agency,Weinbach,HE
gemeinde-weissenborn.de,City,Non-Federal Agency,Weißenborn,HE
gemuenden-felda.de,City,Non-Federal Agency,Gemünden (Felda),HE
gera.de,City,Non-Federal Agency,Gera,TH
gernsheim.de,City,Non-Federal Agency,Gernsheim,HE
gersfeld.de,City,Non-Federal Agency,Gersfeld (Rhön),HE
gerstetten.de,City,Non-Federal Agency,Gerstetten,BW
giessen.de,City,Non-Federal Agency,Gießen,HE
gilserberg.de,City,Non-Federal Agency,Gilserberg,HE
ginsheim-gustavsburg.de,City,Non-Federal Agency,Ginsheim-Gustavsburg,HE
gladenbach.de,City,Non-Federal Agency,Gladenbach,HE
glauburg.de,City,Non-Federal Agency,Glauburg,HE
glauchau.de,City,Non-Federal Agency,Glauchau,SN
gorxheimertal.de,City,Non-Federal Agency,Gorxheimertal,HE
graevenwiesbach.de,City,Non-Federal Agency,Grävenwiesbach,HE
grasellenbach.de,City,Non-Federal Agency,Grasellenbach,HE
grebenau.de,City,Non-Federal Agency,Grebenau,HE
grebenhain.de,City,Non-Federal Agency,Grebenhain,HE
greifenstein.de,City,Non-Federal Agency,Greifenstein,HE
greifswald.de,City,Non-Federal Agency,Greifswald,MV
griesheim.de,City,Non-Federal Agency,Griesheim,HE
grimma.de,City,Non-Federal Agency,Grimma,SN
groemitz.eu,City,Non-Federal Agency,Kellenhusen,SH
grossalmerode.de,City,Non-Federal Agency,Großalmerode,HE
gross-bieberau.de,City,Non-Federal Agency,Groß-Bieberau,HE
grossenlueder.de,City,Non-Federal Agency,Großenlüder,HE
gross-gerau.de,City,Non-Federal Agency,Groß-Gerau,HE
grosskrotzenburg.de,City,Non-Federal Agency,Großkrotzenburg,HE
gross-rohrheim.de,City,Non-Federal Agency,Groß-Rohrheim,HE
grossrosseln.de,City,Non-Federal Agency,Großrosseln,SL
gross-umstadt.de,City,Non-Federal Agency,Groß-Umstadt,HE
gross-zimmern.de,City,Non-Federal Agency,Groß-Zimmern,HE
gruenberg.de,City,Non-Federal Agency,Grünberg,HE
gruendau.de,City,Non-Federal Agency,Gründau,HE
guxhagen.de,City,Non-Federal Agency,Guxhagen,HE
habichtswald.de,City,Non-Federal Agency,Habichtswald,HE
hadamar.de,City,Non-Federal Agency,Hadamar,HE
haiger.de,City,Non-Federal Agency,Haiger,HE
haimhausen.de,City,Non-Federal Agency,Haimhausen,BY
hainburg.de,City,Non-Federal Agency,Hainburg,HE
halsbruecke.de,City,Non-Federal Agency,Halsbrücke,SN
hammersbach.de,City,Non-Federal Agency,Hammersbach,HE
hasselroth.de,City,Non-Federal Agency,Hasselroth,HE
hattersheim.de,City,Non-Federal Agency,Hattersheim am Main,HE
hatzfeld-eder.de,City,Non-Federal Agency,Hatzfeld (Eder),HE
haunetal.de,City,Non-Federal Agency,Haunetal,HE
hebertshausen.de,City,Non-Federal Agency,Hebertshausen,BY
heidelberg.de,City,Non-Federal Agency,Heidelberg,BW
heidenrod.de,City,Non-Federal Agency,Heidenrod,HE
heilbronn.de,City,Non-Federal Agency,Heilbronn,BW
heppenheim.de,City,Non-Federal Agency,Heppenheim (Bergstraße),HE
herborn.de,City,Non-Federal Agency,Herborn,HE
herbrechtingen.de,City,Non-Federal Agency,Herbrechtingen,BW
herbstein.de,City,Non-Federal Agency,Herbstein,HE
heringen.de,City,Non-Federal Agency,Heringen (Werra),HE
herleshausen.de,City,Non-Federal Agency,Herleshausen,HE
hesseneck-odenwald.de,City,Non-Federal Agency,Hesseneck,HE
hessisch-lichtenau.de,City,Non-Federal Agency,Hessisch Lichtenau,HE
heusweiler.de,City,Non-Federal Agency,Heusweiler,SL
hilders.de,City,Non-Federal Agency,Hilders,HE
hirschhorn.de,City,Non-Federal Agency,Hirschhorn (Neckar),HE
hirzenhain.de,City,Non-Federal Agency,Hirzenhain,HE
hochheim.de,City,Non-Federal Agency,Hochheim am Main,HE
hoechst-i-odw.de,City,Non-Federal Agency,Höchst im Odenwald,HE
hofbieber.de,City,Non-Federal Agency,Hofbieber,HE
hofbieber-tourismus.de,City,Non-Federal Agency,Hofbieber,HE
hofgeismar.de,City,Non-Federal Agency,Hofgeismar,HE
hofheim.de,City,Non-Federal Agency,Hofheim am Taunus,HE
hohenahr.de,City,Non-Federal Agency,Hohenahr,HE
hohenroda.de,City,Non-Federal Agency,Hohenroda,HE
hohenstein-hessen.de,City,Non-Federal Agency,Hohenstein,HE
homberg-efze.eu,City,Non-Federal Agency,Homberg (Efze),HE
homberg-ohm.de,City,Non-Federal Agency,Homberg (Ohm),HE
huenfeld.de,City,Non-Federal Agency,Hünfeld,HE
huenfelden.de,City,Non-Federal Agency,Hünfelden,HE
huettenberg.de,City,Non-Federal Agency,Hüttenberg,HE
idstein.de,City,Non-Federal Agency,Idstein,HE
immenhausen.de,City,Non-Federal Agency,Immenhausen,HE
ingelheim.de,City,Non-Federal Agency,Ingelheim am Rhein,RP
jossgrund.de,City,Non-Federal Agency,Jossgrund,HE
kaiserslautern.de,City,Non-Federal Agency,Kaiserslautern,RP
karlshagen.de,City,Non-Federal Agency,Karlshagen,MV
kaufungen.eu,City,Non-Federal Agency,Kaufungen,HE
kelkheim.de,City,Non-Federal Agency,Kelkheim (Taunus),HE
kelsterbach.de,City,Non-Federal Agency,Kelsterbach,HE
kiedrich.de,City,Non-Federal Agency,Kiedrich,HE
kiel.de,City,Non-Federal Agency,Kiel,SH
kirchheim.de,City,Non-Federal Agency,Kirchheim,HE
kirn.de,City,Non-Federal Agency,Kirn,RP
kleinblittersdorf.de,City,Non-Federal Agency,Kleinblittersdorf,SL
knuellwald.de,City,Non-Federal Agency,Knüllwald,HE
koelleda.de,City,Non-Federal Agency,Kölleda,TH
koerle.de,City,Non-Federal Agency,Körle,HE
krefeld.de,City,Non-Federal Agency,Krefeld,NW
kriftel.de,City,Non-Federal Agency,Kriftel,HE
kuenzell.de,City,Non-Federal Agency,Künzell,HE
lahnau.de,City,Non-Federal Agency,Lahnau,HE
lahntal.de,City,Non-Federal Agency,Lahntal,HE
lampertheim.de,City,Non-Federal Agency,Lampertheim,HE
landau.de,City,Non-Federal Agency,Landau in der Pfalz,RP
langenselbold.de,City,Non-Federal Agency,Langenselbold,HE
langgoens.de,City,Non-Federal Agency,Langgöns,HE
laubach-online.de,City,Non-Federal Agency,Laubach,HE
lauterbach-hessen.de,City,Non-Federal Agency,Lauterbach (Hessen),HE
lauter-bernsbach.de,City,Non-Federal Agency,Lauter-Bernsbach,SN
lautertal.de,City,Non-Federal Agency,Lautertal (Odenwald),HE
lautertal-vogelsberg.de,City,Non-Federal Agency,Lautertal (Vogelsberg),HE
lebach.de,City,Non-Federal Agency,Lebach,SL
